OBJECTID,UPlCodigo,UPlNombre,SHAPE_Leng,LocNombre,LocCodigo,idred,RedIntregr,SHAPE_Le_1,SHAPE_Area
149,UPZ37,SANTA ISABEL,0.05539622,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.05539622,0.00016324
150,UPZ49,APOGEO,0.07336394,KENNEDY,8,2,Territorio Red Sur Occidente,0.07336394,0.00017148
151,UPZ19,EL PRADO,0.09591693,SUBA,11,4,Territorio Red Norte,0.09591693,0.00035299
152,UPZ24,NIZA,0.12220205,SUBA,11,4,Territorio Red Norte,0.12220205,0.0006162
153,UPZ23,CASA BLANCA SUBA,0.09318943,SUBA,11,4,Territorio Red Norte,0.09318943,0.00034247
154,UPZ110,CIUDAD SALITRE OCCIDENTAL,0.05497864,TEUSAQUILLO,13,4,Territorio Red Norte,0.05497864,0.00018381
155,UPZ104,PARQUE SIMON BOLIVAR - CAN,0.11047598,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.11047598,0.00032467
156,UPZ31,SANTA CECILIA,0.0692341,ENGATIVA,10,4,Territorio Red Norte,0.0692341,0.00025131
157,UPZ68,EL TESORO,0.09072186,CIUDAD BOLIVAR,19,1,Territorio Red Sur,0.09072186,0.00017169
158,UPZ64,MONTE BLANCO,0.19686587,USME,5,1,Territorio Red Sur,0.19686587,0.00056642
159,UPZ71,TIBABUYES,0.15653033,SUBA,11,4,Territorio Red Norte,0.15653033,0.00059162
160,UPZ29,MINUTO DE DIOS,0.08422557,SUBA,11,4,Territorio Red Norte,0.08422557,0.000304
161,UPZ76,FONTIBON SAN PABLO,0.08721918,FONTIBON,9,2,Territorio Red Sur Occidente,0.08721918,0.00029317
162,UPZ3,GUAYMARAL,0.10729746,SUBA,11,4,Territorio Red Norte,0.10729746,0.00036951
163,UPZ80,CORABASTOS,0.05308656,KENNEDY,8,2,Territorio Red Sur Occidente,0.05308656,0.00015027
164,UPZ67,LUCERO,0.12185553,TUNJUELITO,6,1,Territorio Red Sur,0.12185553,0.00047747
